date,daily-stars,total-stars
22-12-2015,7,10678
23-12-2015,10,10688
24-12-2015,8,10696
25-12-2015,6,10702
26-12-2015,4,10706
27-12-2015,8,10714
28-12-2015,16,10730
29-12-2015,16,10746
30-12-2015,11,10757
31-12-2015,10,10767
01-01-2016,6,10773
02-01-2016,6,10779
03-01-2016,2,10781
04-01-2016,17,10798
05-01-2016,16,10814
06-01-2016,25,10839
07-01-2016,12,10851
08-01-2016,13,10864
09-01-2016,8,10872
10-01-2016,10,10882
11-01-2016,12,10894
12-01-2016,27,10921
13-01-2016,19,10940
14-01-2016,26,10966
15-01-2016,19,10985
16-01-2016,10,10995
17-01-2016,9,11004
18-01-2016,20,11024
19-01-2016,22,11046
20-01-2016,21,11067
21-01-2016,23,11090
22-01-2016,21,11111
23-01-2016,9,11120
24-01-2016,10,11130
25-01-2016,22,11152
26-01-2016,28,11180
27-01-2016,21,11201
28-01-2016,16,11217
29-01-2016,19,11236
30-01-2016,14,11250
31-01-2016,13,11263
01-02-2016,11,11274
02-02-2016,12,11286
03-02-2016,26,11312
04-02-2016,10,11322
05-02-2016,19,11341
06-02-2016,13,11354
07-02-2016,9,11363
08-02-2016,15,11378
09-02-2016,11,11389
10-02-2016,13,11402
11-02-2016,18,11420
12-02-2016,17,11437
13-02-2016,8,11445
14-02-2016,21,11466
15-02-2016,19,11485
16-02-2016,26,11511
17-02-2016,15,11526
18-02-2016,22,11548
19-02-2016,29,11577
20-02-2016,7,11584
21-02-2016,8,11592
22-02-2016,14,11606
23-02-2016,27,11633
24-02-2016,22,11655
25-02-2016,16,11671
26-02-2016,31,11702
27-02-2016,12,11714
28-02-2016,18,11732
29-02-2016,22,11754
01-03-2016,18,11772
02-03-2016,16,11788
03-03-2016,23,11811
04-03-2016,13,11824
05-03-2016,9,11833
06-03-2016,12,11845
07-03-2016,12,11857
08-03-2016,21,11878
09-03-2016,17,11895
10-03-2016,24,11919
11-03-2016,23,11942
12-03-2016,12,11954
13-03-2016,17,11971
14-03-2016,21,11992
15-03-2016,19,12011
16-03-2016,22,12033
17-03-2016,27,12060
18-03-2016,20,12080
19-03-2016,19,12099
20-03-2016,29,12128
21-03-2016,31,12159
22-03-2016,28,12187
23-03-2016,24,12211
24-03-2016,22,12233
25-03-2016,24,12257
26-03-2016,18,12275
27-03-2016,16,12291
28-03-2016,26,12317
29-03-2016,33,12350
30-03-2016,24,12374
31-03-2016,16,12390
01-04-2016,11,12401
02-04-2016,7,12408
03-04-2016,7,12415
04-04-2016,18,12433
05-04-2016,14,12447
06-04-2016,13,12460
07-04-2016,24,12484
08-04-2016,13,12497
09-04-2016,12,12509
10-04-2016,10,12519
11-04-2016,21,12540
12-04-2016,15,12555
13-04-2016,15,12570
14-04-2016,23,12593
15-04-2016,18,12611
16-04-2016,10,12621
17-04-2016,11,12632
18-04-2016,22,12654
19-04-2016,19,12673
20-04-2016,22,12695
21-04-2016,24,12719
22-04-2016,15,12734
23-04-2016,11,12745
24-04-2016,13,12758
25-04-2016,20,12778
26-04-2016,30,12808
27-04-2016,15,12823
28-04-2016,17,12840
29-04-2016,19,12859
30-04-2016,16,12875
01-05-2016,7,12882
02-05-2016,11,12893
03-05-2016,11,12904
04-05-2016,24,12928
05-05-2016,15,12943
06-05-2016,24,12967
07-05-2016,3,12970
08-05-2016,12,12982
09-05-2016,11,12993
10-05-2016,15,13008
11-05-2016,25,13033
12-05-2016,22,13055
13-05-2016,19,13074
14-05-2016,13,13087
15-05-2016,7,13094
16-05-2016,22,13116
17-05-2016,16,13132
18-05-2016,16,13148
19-05-2016,20,13168
20-05-2016,15,13183
21-05-2016,14,13197
22-05-2016,13,13210
23-05-2016,14,13224
24-05-2016,23,13247
25-05-2016,32,13279
26-05-2016,26,13305
27-05-2016,19,13324
28-05-2016,10,13334
29-05-2016,4,13338
30-05-2016,13,13351
31-05-2016,22,13373
01-06-2016,18,13391
02-06-2016,22,13413
03-06-2016,15,13428
04-06-2016,12,13440
05-06-2016,5,13445
06-06-2016,19,13464
07-06-2016,16,13480
08-06-2016,18,13498
09-06-2016,19,13517
10-06-2016,18,13535
11-06-2016,10,13545
12-06-2016,14,13559
13-06-2016,11,13570
14-06-2016,11,13581
15-06-2016,18,13599
16-06-2016,22,13621
17-06-2016,17,13638
18-06-2016,11,13649
19-06-2016,13,13662
20-06-2016,16,13678
21-06-2016,14,13692
22-06-2016,26,13718
23-06-2016,16,13734
24-06-2016,22,13756
25-06-2016,7,13763
26-06-2016,6,13769
27-06-2016,9,13778
28-06-2016,13,13791
29-06-2016,24,13815
30-06-2016,21,13836
01-07-2016,19,13855
02-07-2016,35,13890
03-07-2016,25,13915
04-07-2016,26,13941
05-07-2016,19,13960
06-07-2016,24,13984
07-07-2016,26,14010
08-07-2016,23,14033
09-07-2016,16,14049
10-07-2016,14,14063
11-07-2016,29,14092
12-07-2016,22,14114
13-07-2016,24,14138
14-07-2016,17,14155
15-07-2016,24,14179
16-07-2016,4,14183
17-07-2016,11,14194
18-07-2016,20,14214
19-07-2016,23,14237
20-07-2016,24,14261
21-07-2016,21,14282
22-07-2016,28,14310
23-07-2016,10,14320
24-07-2016,20,14340
25-07-2016,20,14360
26-07-2016,25,14385
27-07-2016,27,14412
28-07-2016,20,14432
29-07-2016,22,14454
30-07-2016,8,14462
31-07-2016,13,14475
01-08-2016,25,14500
02-08-2016,25,14525
03-08-2016,11,14536
04-08-2016,18,14554
05-08-2016,28,14582
06-08-2016,9,14591
07-08-2016,8,14599
08-08-2016,17,14616
09-08-2016,23,14639
10-08-2016,19,14658
11-08-2016,17,14675
12-08-2016,18,14693
13-08-2016,11,14704
14-08-2016,11,14715
15-08-2016,15,14730
16-08-2016,16,14746
17-08-2016,15,14761
18-08-2016,22,14783
19-08-2016,13,14796
20-08-2016,13,14809
21-08-2016,12,14821
22-08-2016,20,14841
23-08-2016,14,14855
24-08-2016,25,14880
25-08-2016,16,14896
26-08-2016,17,14913
27-08-2016,17,14930
28-08-2016,10,14940
29-08-2016,25,14965
30-08-2016,28,14993
31-08-2016,20,15013
01-09-2016,25,15038
02-09-2016,11,15049
03-09-2016,7,15056
04-09-2016,14,15070
05-09-2016,14,15084
06-09-2016,25,15109
07-09-2016,26,15135
08-09-2016,23,15158
09-09-2016,53,15211
10-09-2016,27,15238
11-09-2016,16,15254
12-09-2016,31,15285
13-09-2016,26,15311
14-09-2016,26,15337
15-09-2016,26,15363
16-09-2016,23,15386
