repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-0d,language,archived,dependencies,status,start_date,join_date
cert-manager/cert-manager,10671,95,46,27,1,8.903,Go,false,46,Incubating,2017-08-07 00:00:00 +0000 UTC,2020-11-10 00:00:00 +0000 UTC
getsops/sops,13665,209,105,48,2,15.295,Go,false,40,Sandbox,2015-08-13 00:00:00 +0000 UTC,2023-05-17 00:00:00 +0000 UTC
buildpacks/pack,2115,32,11,6,0,15.130,Go,false,35,Incubating,2018-06-01 00:00:00 +0000 UTC,2018-10-03 00:00:00 +0000 UTC
eraser-dev/eraser,241,10,4,2,1,41.494,Go,false,26,Sandbox,2021-05-28 00:00:00 +0000 UTC,2023-06-30 00:00:00 +0000 UTC
fluid-cloudnative/fluid,1384,19,6,3,0,13.728,Go,false,32,Sandbox,2020-07-22 00:00:00 +0000 UTC,2021-04-28 00:00:00 +0000 UTC
dragonflyoss/Dragonfly2,1578,92,35,26,1,58.302,Go,false,88,Incubating,2017-11-19 00:00:00 +0000 UTC,2018-11-13 00:00:00 +0000 UTC
antrea-io/antrea,1518,13,7,3,0,8.564,Go,false,79,Sandbox,2019-11-18 00:00:00 +0000 UTC,2021-04-28 00:00:00 +0000 UTC
opcr-io/policy,168,3,1,0,0,17.857,Go,false,25,Sandbox,2021-10-05 00:00:00 +0000 UTC,2022-12-13 00:00:00 +0000 UTC
hwameistor/hwameistor,433,15,6,5,1,34.642,Go,false,40,Sandbox,2022-02-21 00:00:00 +0000 UTC,2023-06-22 00:00:00 +0000 UTC
backstage/backstage,23060,346,159,67,7,15.004,TypeScript,false,0,Incubating,2020-03-16 00:00:00 +0000 UTC,2020-09-08 00:00:00 +0000 UTC
pipe-cd/pipecd,815,31,11,4,0,38.037,Go,false,54,Sandbox,2020-09-28 00:00:00 +0000 UTC,2023-05-17 00:00:00 +0000 UTC
operator-framework/operator-sdk,6679,55,26,9,1,8.235,Go,false,42,Incubating,2018-04-27 00:00:00 +0000 UTC,2020-07-09 00:00:00 +0000 UTC
opencost/opencost,4062,70,39,23,0,17.233,Go,false,57,Sandbox,2018-11-21 00:00:00 +0000 UTC,2022-06-17 00:00:00 +0000 UTC
spiffe/spire,1485,13,7,2,1,8.754,Go,false,80,Graduated,2017-09-28 00:00:00 +0000 UTC,2018-03-29 00:00:00 +0000 UTC
containerd/containerd,14729,236,122,66,6,16.023,Go,false,74,Graduated,2015-12-17 00:00:00 +0000 UTC,2017-03-29 00:00:00 +0000 UTC
crossplane/crossplane,7433,148,67,32,3,19.911,Go,false,29,Incubating,2018-12-04 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
open-policy-agent/opa,8398,114,50,27,2,13.575,Go,false,41,Graduated,2015-12-27 00:00:00 +0000 UTC,2018-03-29 00:00:00 +0000 UTC
thanos-io/thanos,12048,114,47,16,3,9.462,Go,false,91,Incubating,2017-11-01 00:00:00 +0000 UTC,2019-07-14 00:00:00 +0000 UTC
nats-io/nats-server,13466,170,78,37,5,12.624,Go,false,10,Incubating,2014-01-02 00:00:00 +0000 UTC,2018-03-15 00:00:00 +0000 UTC
k3s-io/k3s,24329,328,137,62,10,13.482,Go,false,76,Sandbox,2018-05-31 00:00:00 +0000 UTC,2020-08-19 00:00:00 +0000 UTC
getporter/porter,1042,15,5,0,0,14.395,Go,false,64,Sandbox,2018-12-10 00:00:00 +0000 UTC,2020-09-08 00:00:00 +0000 UTC
keycloak/keycloak,17247,306,143,68,7,17.742,Java,false,0,Incubating,2014-01-01 00:00:00 +0000 UTC,2023-04-10 00:00:00 +0000 UTC
argoproj/argo-cd,13967,251,104,55,9,17.971,Go,false,101,Graduated,2017-07-27 00:00:00 +0000 UTC,2020-03-26 00:00:00 +0000 UTC
prometheus/prometheus,49711,447,200,103,8,8.992,Go,false,84,Graduated,2014-01-06 00:00:00 +0000 UTC,2016-05-09 00:00:00 +0000 UTC
kubernetes/kubernetes,101314,838,378,195,24,8.271,Go,false,120,Graduated,2014-06-01 00:00:00 +0000 UTC,2016-03-10 00:00:00 +0000 UTC
